range
10000
2000000
10000	20000	30000	40000	50000	60000	70000	80000	90000	100000	110000	120000	130000	140000	150000	160000	170000	180000	190000	200000	210000	220000	230000	240000	250000	260000	270000	280000	290000	300000	310000	320000	330000	340000	350000	360000	370000	380000	390000	400000	410000	420000	430000	440000	450000	460000	470000	480000	490000	500000	510000	520000	530000	540000	550000	560000	570000	580000	590000	600000	610000	620000	630000	640000	650000	660000	670000	680000	690000	700000	710000	720000	730000	740000	750000	760000	770000	780000	790000	800000	810000	820000	830000	840000	850000	860000	870000	880000	890000	900000	910000	920000	930000	940000	950000	960000	970000	980000	990000	1000000	1010000	1020000	1030000	1040000	1050000	1060000	1070000	1080000	1090000	1100000	1110000	1120000	1130000	1140000	1150000	1160000	1170000	1180000	1190000	1200000	1210000	1220000	1230000	1240000	1250000	1260000	1270000	1280000	1290000	1300000	1310000	1320000	1330000	1340000	1350000	1360000	1370000	1380000	1390000	1400000	1410000	1420000	1430000	1440000	1450000	1460000	1470000	1480000	1490000	1500000	1510000	1520000	1530000	1540000	1550000	1560000	1570000	1580000	1590000	1600000	1610000	1620000	1630000	1640000	1650000	1660000	1670000	1680000	1690000	1700000	1710000	1720000	1730000	1740000	1750000	1760000	1770000	1780000	1790000	1800000	1810000	1820000	1830000	1840000	1850000	1860000	1870000	1880000	1890000	1900000	1910000	1920000	1930000	1940000	1950000	1960000	1970000	1980000	1990000	2000000	------------------
Total Memory: 62,914,560
 Free Memory: 60,817,408
 Max Memory: 1,006,632,960
 name                           | 	 shuffle  | 	 elements     | 	 duration_ms  | 	 p_duration_s | 	 p_duration_ns | 	 memory     
 Arrays.parallelSort            | 	 / 1      | 	 50,000       | 	 60           | 	 0            | 	 60,452,000   | 	 0          
 Linked Hashmap                 | 	 / 1      | 	 50,000       | 	 16           | 	 0            | 	 15,565,000   | 	 5,242,880  
 Stream + parallel + sort       | 	 / 1      | 	 50,000       | 	 58           | 	 0            | 	 58,004,000   | 	 1,924,448  
 selection                      | 	 / 1      | 	 60,000       | 	 3,410        | 	 3            | 	 409,547,000  | 	 0          
 insertion                      | 	 / 1      | 	 60,000       | 	 4,918        | 	 4            | 	 918,549,000  | 	 0          
 bubble                         | 	 / 1      | 	 60,000       | 	 14,013       | 	 14           | 	 12,915,000   | 	 0          
 shell                          | 	 / 1      | 	 60,000       | 	 7,568        | 	 7            | 	 568,510,000  | 	 0          
 merge sort                     | 	 / 1      | 	 60,000       | 	 13           | 	 0            | 	 13,632,000   | 	 240,024    
 Arrays.sort                    | 	 / 1      | 	 60,000       | 	 80           | 	 0            | 	 79,817,000   | 	 0          
 Arrays.parallelSort            | 	 / 1      | 	 60,000       | 	 56           | 	 0            | 	 56,207,000   | 	 433,912    
 Linked Hashmap                 | 	 / 1      | 	 60,000       | 	 16           | 	 0            | 	 16,576,000   | 	 5,765,120  
 Stream + parallel + sort       | 	 / 1      | 	 60,000       | 	 49           | 	 0            | 	 49,119,000   | 	 2,376,704  
 selection                      | 	 / 1      | 	 70,000       | 	 4,612        | 	 4            | 	 612,061,000  | 	 0          
 insertion                      | 	 / 1      | 	 70,000       | 	 7,009        | 	 7            | 	 8,819,000    | 	 0          
 bubble                         | 	 / 1      | 	 70,000       | 	 19,887       | 	 19           | 	 887,311,000  | 	 0          
 shell                          | 	 / 1      | 	 70,000       | 	 8,571        | 	 8            | 	 571,066,000  | 	 0          
 merge sort                     | 	 / 1      | 	 70,000       | 	 16           | 	 0            | 	 15,912,000   | 	 0          
 Arrays.sort                    | 	 / 1      | 	 70,000       | 	 72           | 	 0            | 	 72,163,000   | 	 336,656    
 Arrays.parallelSort            | 	 / 1      | 	 70,000       | 	 50           | 	 0            | 	 49,621,000   | 	 522,240    
 Linked Hashmap                 | 	 / 1      | 	 70,000       | 	 26           | 	 0            | 	 26,269,000   | 	 6,817,792  
 Stream + parallel + sort       | 	 / 1      | 	 70,000       | 	 58           | 	 0            | 	 58,248,000   | 	 2,174,976  
 selection                      | 	 / 1      | 	 80,000       | 	 5,989        | 	 5            | 	 989,185,000  | 	 0          
 insertion                      | 	 / 1      | 	 80,000       | 	 9,355        | 	 9            | 	 355,644,000  | 	 0          
 bubble                         | 	 / 1      | 	 80,000       | 	 25,537       | 	 25           | 	 536,650,000  | 	 0          
 shell                          | 	 / 1      | 	 80,000       | 	 11,563       | 	 11           | 	 563,279,000  | 	 0          
 merge sort                     | 	 / 1      | 	 80,000       | 	 20           | 	 0            | 	 19,257,000   | 	 378,632    
 Arrays.sort                    | 	 / 1      | 	 80,000       | 	 88           | 	 0            | 	 88,504,000   | 	 0          
 Arrays.parallelSort            | 	 / 1      | 	 80,000       | 	 42           | 	 0            | 	 42,182,000   | 	 164,992    
 Linked Hashmap                 | 	 / 1      | 	 80,000       | 	 17           | 	 0            | 	 17,030,000   | 	 7,342,080  
 Stream + parallel + sort       | 	 / 1      | 	 80,000       | 	 41           | 	 0            | 	 40,466,000   | 	 3,100,960  
 selection                      | 	 / 1      | 	 90,000       | 	 7,791        | 	 7            | 	 790,648,000  | 	 0          
 insertion                      | 	 / 1      | 	 90,000       | 	 17,122       | 	 17           | 	 122,291,000  | 	 0          
 bubble                         | 	 / 1      | 	 90,000       | 	 29,436       | 	 29           | 	 436,721,000  | 	 0          
 shell                          | 	 / 1      | 	 90,000       | 	 12,294       | 	 12           | 	 293,585,000  | 	 29,856     
 merge sort                     | 	 / 1      | 	 90,000       | 	 21           | 	 0            | 	 21,466,000   | 	 657,960    
 Arrays.sort                    | 	 / 1      | 	 90,000       | 	 106          | 	 0            | 	 106,500,000  | 	 311,104    
 Arrays.parallelSort            | 	 / 1      | 	 90,000       | 	 59           | 	 0            | 	 58,874,000   | 	 -15,499,864 
 Linked Hashmap                 | 	 / 1      | 	 90,000       | 	 15           | 	 0            | 	 15,492,000   | 	 8,017,536  
 Stream + parallel + sort       | 	 / 1      | 	 90,000       | 	 45           | 	 0            | 	 44,900,000   | 	 -6,860,976 
 selection                      | 	 / 1      | 	 100,000      | 	 8,922        | 	 8            | 	 921,953,000  | 	 0          
 insertion                      | 	 / 1      | 	 100,000      | 	 19,900       | 	 19           | 	 900,485,000  | 	 0          
 bubble                         | 	 / 1      | 	 100,000      | 	 40,206       | 	 40           | 	 206,333,000  | 	 -14,680,064 
 shell                          | 	 / 1      | 	 100,000      | 	 19,759       | 	 19           | 	 759,090,000  | 	 61,360     
 merge sort                     | 	 / 1      | 	 100,000      | 	 24           | 	 0            | 	 23,907,000   | 	 440,152    
 Arrays.sort                    | 	 / 1      | 	 100,000      | 	 118          | 	 0            | 	 117,994,000  | 	 429,440    
 Arrays.parallelSort            | 	 / 1      | 	 100,000      | 	 18           | 	 0            | 	 17,996,000   | 	 1,181,576  
 Linked Hashmap                 | 	 / 1      | 	 100,000      | 	 17           | 	 0            | 	 16,980,000   | 	 10,875,448 
 Stream + parallel + sort       | 	 / 1      | 	 100,000      | 	 20           | 	 0            | 	 20,015,000   | 	 4,016,152  
 selection                      | 	 / 1      | 	 110,000      | 	 9,408        | 	 9            | 	 408,376,000  | 	 0          
 insertion                      | 	 / 1      | 	 110,000      | 	 19,248       | 	 19           | 	 248,109,000  | 	 0          
 bubble                         | 	 / 1      | 	 110,000      | 	 46,299       | 	 46           | 	 299,260,000  | 	 0          
 shell                          | 	 / 1      | 	 110,000      | 	 21,279       | 	 21           | 	 278,792,000  | 	 0          
 merge sort                     | 	 / 1      | 	 110,000      | 	 24           | 	 0            | 	 24,363,000   | 	 440,024    
 Arrays.sort                    | 	 / 1      | 	 110,000      | 	 28           | 	 0            | 	 27,404,000   | 	 505,184    
 Arrays.parallelSort            | 	 / 1      | 	 110,000      | 	 18           | 	 0            | 	 18,121,000   | 	 736,800    
 Linked Hashmap                 | 	 / 1      | 	 110,000      | 	 34           | 	 0            | 	 34,138,000   | 	 -3,445,336 
 Stream + parallel + sort       | 	 / 1      | 	 110,000      | 	 62           | 	 0            | 	 62,079,000   | 	 -12,683,264 
 selection                      | 	 / 1      | 	 120,000      | 	 12,559       | 	 12           | 	 559,189,000  | 	 0          
 insertion                      | 	 / 1      | 	 120,000      | 	 24,763       | 	 24           | 	 763,682,000  | 	 0          
 bubble                         | 	 / 1      | 	 120,000      | 	 55,101       | 	 55           | 	 100,685,000  | 	 0          
 shell                          | 	 / 1      | 	 120,000      | 	 21,975       | 	 21           | 	 974,985,000  | 	 0          
