 name                           | 	 shuffle  | 	 elements     | 	 duration_ms  | 	 p_duration_s | 	 p_duration_ns | 	 memory     
 Arrays.parallelSort            | 	 / 1 (n_const)  | 	 90,000       | 	 87           | 	 0            | 	 87,768,000   | 	 0          
 Linked Hashmap                 | 	 / 1 (n_const)  | 	 90,000       | 	 54           | 	 0            | 	 53,614,000   | 	 -13,843,048 
 Stream + parallel + sort       | 	 / 1 (n_const)  | 	 90,000       | 	 56           | 	 0            | 	 55,332,000   | 	 2,995,608  
 merge sort                     | 	 / 1 (n_const)  | 	 100,000      | 	 23           | 	 0            | 	 23,870,000   | 	 468,232    
 Arrays.sort                    | 	 / 1 (n_const)  | 	 100,000      | 	 28           | 	 0            | 	 28,135,000   | 	 331,104    
 Arrays.parallelSort            | 	 / 1 (n_const)  | 	 100,000      | 	 74           | 	 0            | 	 73,570,000   | 	 -20,569,648 
 Linked Hashmap                 | 	 / 1 (n_const)  | 	 100,000      | 	 37           | 	 0            | 	 36,563,000   | 	 10,929,120 
 Stream + parallel + sort       | 	 / 1 (n_const)  | 	 100,000      | 	 35           | 	 0            | 	 34,885,000   | 	 3,787,128  
 merge sort                     | 	 / 1 (n_const)  | 	 110,000      | 	 26           | 	 0            | 	 26,006,000   | 	 440,024    
 Arrays.sort                    | 	 / 1 (n_const)  | 	 110,000      | 	 37           | 	 0            | 	 36,828,000   | 	 465,840    
 Arrays.parallelSort            | 	 / 1 (n_const)  | 	 110,000      | 	 30           | 	 0            | 	 29,808,000   | 	 561,912    
 Linked Hashmap                 | 	 / 1 (n_const)  | 	 110,000      | 	 57           | 	 0            | 	 57,263,000   | 	 -32,148,208 
 Stream + parallel + sort       | 	 / 1 (n_const)  | 	 110,000      | 	 28           | 	 0            | 	 28,059,000   | 	 4,041,904  
 merge sort                     | 	 / 1 (n_const)  | 	 120,000      | 	 30           | 	 0            | 	 29,994,000   | 	 480,024    
 Arrays.sort                    | 	 / 1 (n_const)  | 	 120,000      | 	 35           | 	 0            | 	 35,004,000   | 	 0          
 Arrays.parallelSort            | 	 / 1 (n_const)  | 	 120,000      | 	 31           | 	 0            | 	 31,442,000   | 	 480,016    
 Linked Hashmap                 | 	 / 1 (n_const)  | 	 120,000      | 	 38           | 	 0            | 	 38,164,000   | 	 2,345,640  
 Stream + parallel + sort       | 	 / 1 (n_const)  | 	 120,000      | 	 31           | 	 0            | 	 30,620,000   | 	 4,712,448  
 merge sort                     | 	 / 1 (n_const)  | 	 130,000      | 	 32           | 	 0            | 	 31,771,000   | 	 520,024    
 Arrays.sort                    | 	 / 1 (n_const)  | 	 130,000      | 	 69           | 	 0            | 	 68,866,000   | 	 391,104    
 Arrays.parallelSort            | 	 / 1 (n_const)  | 	 130,000      | 	 22           | 	 0            | 	 21,300,000   | 	 520,016    
 Linked Hashmap                 | 	 / 1 (n_const)  | 	 130,000      | 	 65           | 	 0            | 	 64,649,000   | 	 -17,068,032 
 Stream + parallel + sort       | 	 / 1 (n_const)  | 	 130,000      | 	 38           | 	 0            | 	 38,291,000   | 	 4,695,152  
 merge sort                     | 	 / 1 (n_const)  | 	 140,000      | 	 52           | 	 0            | 	 52,641,000   | 	 1,048,576  
 Arrays.sort                    | 	 / 1 (n_const)  | 	 140,000      | 	 46           | 	 0            | 	 46,304,000   | 	 802,256    
 Arrays.parallelSort            | 	 / 1 (n_const)  | 	 140,000      | 	 49           | 	 0            | 	 48,248,000   | 	 1,048,576  
 Linked Hashmap                 | 	 / 1 (n_const)  | 	 140,000      | 	 93           | 	 0            | 	 93,858,000   | 	 -10,803,200 
 Stream + parallel + sort       | 	 / 1 (n_const)  | 	 140,000      | 	 70           | 	 0            | 	 69,707,000   | 	 6,156,904  
 merge sort                     | 	 / 1 (n_const)  | 	 150,000      | 	 54           | 	 0            | 	 54,606,000   | 	 1,048,576  
 Arrays.sort                    | 	 / 1 (n_const)  | 	 150,000      | 	 47           | 	 0            | 	 47,033,000   | 	 832,512    
 Arrays.parallelSort            | 	 / 1 (n_const)  | 	 150,000      | 	 28           | 	 0            | 	 27,206,000   | 	 1,048,576  
 Linked Hashmap                 | 	 / 1 (n_const)  | 	 150,000      | 	 36           | 	 0            | 	 36,022,000   | 	 14,680,064 
 Stream + parallel + sort       | 	 / 1 (n_const)  | 	 150,000      | 	 41           | 	 0            | 	 41,388,000   | 	 6,206,944  
 merge sort                     | 	 / 1 (n_const)  | 	 160,000      | 	 65           | 	 0            | 	 64,404,000   | 	 1,048,576  
 Arrays.sort                    | 	 / 1 (n_const)  | 	 160,000      | 	 57           | 	 0            | 	 56,955,000   | 	 -107,224,512 
 Arrays.parallelSort            | 	 / 1 (n_const)  | 	 160,000      | 	 39           | 	 0            | 	 39,032,000   | 	 1,117,032  
 Linked Hashmap                 | 	 / 1 (n_const)  | 	 160,000      | 	 35           | 	 0            | 	 35,390,000   | 	 15,206,400 
 Stream + parallel + sort       | 	 / 1 (n_const)  | 	 160,000      | 	 109          | 	 0            | 	 108,714,000  | 	 -4,374,904 
 merge sort                     | 	 / 1 (n_const)  | 	 170,000      | 	 61           | 	 0            | 	 60,704,000   | 	 1,048,576  
 Arrays.sort                    | 	 / 1 (n_const)  | 	 170,000      | 	 55           | 	 0            | 	 54,552,000   | 	 602,176    
 Arrays.parallelSort            | 	 / 1 (n_const)  | 	 170,000      | 	 33           | 	 0            | 	 32,458,000   | 	 1,355,048  
 Linked Hashmap                 | 	 / 1 (n_const)  | 	 170,000      | 	 38           | 	 0            | 	 38,095,000   | 	 15,728,640 
 Stream + parallel + sort       | 	 / 1 (n_const)  | 	 170,000      | 	 46           | 	 0            | 	 45,605,000   | 	 7,207,040  
 merge sort                     | 	 / 1 (n_const)  | 	 180,000      | 	 66           | 	 0            | 	 65,501,000   | 	 1,048,576  
 Arrays.sort                    | 	 / 1 (n_const)  | 	 180,000      | 	 68           | 	 0            | 	 67,221,000   | 	 882,256    
 Arrays.parallelSort            | 	 / 1 (n_const)  | 	 180,000      | 	 37           | 	 0            | 	 36,128,000   | 	 1,048,576  
 Linked Hashmap                 | 	 / 1 (n_const)  | 	 180,000      | 	 35           | 	 0            | 	 35,094,000   | 	 16,777,216 
 Stream + parallel + sort       | 	 / 1 (n_const)  | 	 180,000      | 	 50           | 	 0            | 	 50,008,000   | 	 7,252,928  
 merge sort                     | 	 / 1 (n_const)  | 	 190,000      | 	 69           | 	 0            | 	 69,290,000   | 	 1,048,576  
 Arrays.sort                    | 	 / 1 (n_const)  | 	 190,000      | 	 60           | 	 0            | 	 59,958,000   | 	 838,816    
 Arrays.parallelSort            | 	 / 1 (n_const)  | 	 190,000      | 	 35           | 	 0            | 	 35,753,000   | 	 1,048,576  
 Linked Hashmap                 | 	 / 1 (n_const)  | 	 190,000      | 	 46           | 	 0            | 	 46,069,000   | 	 17,299,456 
 Stream + parallel + sort       | 	 / 1 (n_const)  | 	 190,000      | 	 56           | 	 0            | 	 56,048,000   | 	 7,498,784  
 merge sort                     | 	 / 1 (n_const)  | 	 200,000      | 	 85           | 	 0            | 	 84,685,000   | 	 1,048,576  
 Arrays.sort                    | 	 / 1 (n_const)  | 	 200,000      | 	 77           | 	 0            | 	 77,280,000   | 	 786,448    
 Arrays.parallelSort            | 	 / 1 (n_const)  | 	 200,000      | 	 54           | 	 0            | 	 54,429,000   | 	 1,048,576  
 Linked Hashmap                 | 	 / 1 (n_const)  | 	 200,000      | 	 193          | 	 0            | 	 192,602,000  | 	 -1,570,816 
 Stream + parallel + sort       | 	 / 1 (n_const)  | 	 200,000      | 	 55           | 	 0            | 	 55,581,000   | 	 7,594,024  
 merge sort                     | 	 / 1 (n_const)  | 	 210,000      | 	 79           | 	 0            | 	 78,967,000   | 	 1,048,576  
 Arrays.sort                    | 	 / 1 (n_const)  | 	 210,000      | 	 67           | 	 0            | 	 67,305,000   | 	 942,256    
 Arrays.parallelSort            | 	 / 1 (n_const)  | 	 210,000      | 	 40           | 	 0            | 	 39,796,000   | 	 1,048,576  
 Linked Hashmap                 | 	 / 1 (n_const)  | 	 210,000      | 	 204          | 	 0            | 	 204,040,000  | 	 -1,050,624 
 Stream + parallel + sort       | 	 / 1 (n_const)  | 	 210,000      | 	 64           | 	 0            | 	 64,137,000   | 	 -215,332,640 
 merge sort                     | 	 / 1 (n_const)  | 	 220,000      | 	 80           | 	 0            | 	 80,656,000   | 	 1,048,576  
 Arrays.sort                    | 	 / 1 (n_const)  | 	 220,000      | 	 70           | 	 0            | 	 70,015,000   | 	 962,256    
 Arrays.parallelSort            | 	 / 1 (n_const)  | 	 220,000      | 	 48           | 	 0            | 	 47,440,000   | 	 1,048,576  
 Linked Hashmap                 | 	 / 1 (n_const)  | 	 220,000      | 	 178          | 	 0            | 	 178,043,000  | 	 -8,915,712 
 Stream + parallel + sort       | 	 / 1 (n_const)  | 	 220,000      | 	 57           | 	 0            | 	 57,190,000   | 	 8,190,656  
 merge sort                     | 	 / 1 (n_const)  | 	 230,000      | 	 85           | 	 0            | 	 84,187,000   | 	 1,048,576  
 Arrays.sort                    | 	 / 1 (n_const)  | 	 230,000      | 	 77           | 	 0            | 	 77,353,000   | 	 722,176    
 Arrays.parallelSort            | 	 / 1 (n_const)  | 	 230,000      | 	 42           | 	 0            | 	 42,058,000   | 	 1,277,904  
 Linked Hashmap                 | 	 / 1 (n_const)  | 	 230,000      | 	 64           | 	 0            | 	 63,891,000   | 	 23,595,008 
