range
10000
2000000
10000	20000	30000	40000	50000	60000	70000	80000	90000	100000	110000	120000	130000	140000	150000	160000	170000	180000	190000	200000	210000	220000	230000	240000	250000	260000	270000	280000	290000	300000	310000	320000	330000	340000	350000	360000	370000	380000	390000	400000	410000	420000	430000	440000	450000	460000	470000	480000	490000	500000	510000	520000	530000	540000	550000	560000	570000	580000	590000	600000	610000	620000	630000	640000	650000	660000	670000	680000	690000	700000	710000	720000	730000	740000	750000	760000	770000	780000	790000	800000	810000	820000	830000	840000	850000	860000	870000	880000	890000	900000	910000	920000	930000	940000	950000	960000	970000	980000	990000	1000000	1010000	1020000	1030000	1040000	1050000	1060000	1070000	1080000	1090000	1100000	1110000	1120000	1130000	1140000	1150000	1160000	1170000	1180000	1190000	1200000	1210000	1220000	1230000	1240000	1250000	1260000	1270000	1280000	1290000	1300000	1310000	1320000	1330000	1340000	1350000	1360000	1370000	1380000	1390000	1400000	1410000	1420000	1430000	1440000	1450000	1460000	1470000	1480000	1490000	1500000	1510000	1520000	1530000	1540000	1550000	1560000	1570000	1580000	1590000	1600000	1610000	1620000	1630000	1640000	1650000	1660000	1670000	1680000	1690000	1700000	1710000	1720000	1730000	1740000	1750000	1760000	1770000	1780000	1790000	1800000	1810000	1820000	1830000	1840000	1850000	1860000	1870000	1880000	1890000	1900000	1910000	1920000	1930000	1940000	1950000	1960000	1970000	1980000	1990000	2000000	------------------
Total Memory: 62,914,560
 Free Memory: 60,817,408
 Max Memory: 1,006,632,960
 name                           | 	 shuffle  | 	 elements     | 	 duration_ms  | 	 p_duration_s | 	 p_duration_ns | 	 memory     
 selection                      | 	 / 1      | 	 30,000       | 	 718          | 	 0            | 	 718,608,000  | 	 0          
 insertion                      | 	 / 1      | 	 30,000       | 	 1,136        | 	 1            | 	 135,416,000  | 	 0          
 bubble                         | 	 / 1      | 	 30,000       | 	 3,601        | 	 3            | 	 601,137,000  | 	 0          
 shell                          | 	 / 1      | 	 30,000       | 	 1,335        | 	 1            | 	 334,294,000  | 	 0          
 merge sort                     | 	 / 1      | 	 30,000       | 	 6            | 	 0            | 	 5,763,000    | 	 0          
 Arrays.sort                    | 	 / 1      | 	 30,000       | 	 17           | 	 0            | 	 17,018,000   | 	 0          
 Arrays.parallelSort            | 	 / 1      | 	 30,000       | 	 13           | 	 0            | 	 13,099,000   | 	 0          
 Linked Hashmap                 | 	 / 1      | 	 30,000       | 	 8            | 	 0            | 	 7,616,000    | 	 2,619,392  
 Stream + parallel + sort       | 	 / 1      | 	 30,000       | 	 37           | 	 0            | 	 37,531,000   | 	 880,824    
 selection                      | 	 / 1      | 	 40,000       | 	 1,711        | 	 1            | 	 711,603,000  | 	 0          
 insertion                      | 	 / 1      | 	 40,000       | 	 2,671        | 	 2            | 	 671,385,000  | 	 0          
 bubble                         | 	 / 1      | 	 40,000       | 	 5,562        | 	 5            | 	 561,135,000  | 	 0          
 shell                          | 	 / 1      | 	 40,000       | 	 2,485        | 	 2            | 	 485,361,000  | 	 0          
 merge sort                     | 	 / 1      | 	 40,000       | 	 9            | 	 0            | 	 9,032,000    | 	 0          
 Arrays.sort                    | 	 / 1      | 	 40,000       | 	 55           | 	 0            | 	 55,305,000   | 	 0          
 Arrays.parallelSort            | 	 / 1      | 	 40,000       | 	 37           | 	 0            | 	 36,867,000   | 	 160,016    
 Linked Hashmap                 | 	 / 1      | 	 40,000       | 	 30           | 	 0            | 	 30,305,000   | 	 -29,490,192 
 Stream + parallel + sort       | 	 / 1      | 	 40,000       | 	 51           | 	 0            | 	 51,170,000   | 	 1,926,080  
 selection                      | 	 / 1      | 	 50,000       | 	 2,655        | 	 2            | 	 654,858,000  | 	 0          
 insertion                      | 	 / 1      | 	 50,000       | 	 7,167        | 	 7            | 	 167,659,000  | 	 0          
 bubble                         | 	 / 1      | 	 50,000       | 	 12,608       | 	 12           | 	 607,581,000  | 	 0          
 shell                          | 	 / 1      | 	 50,000       | 	 5,672        | 	 5            | 	 671,805,000  | 	 0          
 merge sort                     | 	 / 1      | 	 50,000       | 	 13           | 	 0            | 	 12,470,000   | 	 0          
 Arrays.sort                    | 	 / 1      | 	 50,000       | 	 116          | 	 0            | 	 116,075,000  | 	 165,568    
 Arrays.parallelSort            | 	 / 1      | 	 50,000       | 	 69           | 	 0            | 	 69,556,000   | 	 2,048      
 Linked Hashmap                 | 	 / 1      | 	 50,000       | 	 27           | 	 0            | 	 27,405,000   | 	 5,242,880  
 Stream + parallel + sort       | 	 / 1      | 	 50,000       | 	 64           | 	 0            | 	 63,940,000   | 	 1,492,976  
 selection                      | 	 / 1      | 	 60,000       | 	 4,273        | 	 4            | 	 272,994,000  | 	 0          
 insertion                      | 	 / 1      | 	 60,000       | 	 5,987        | 	 5            | 	 986,336,000  | 	 0          
 bubble                         | 	 / 1      | 	 60,000       | 	 15,613       | 	 15           | 	 613,163,000  | 	 0          
 shell                          | 	 / 1      | 	 60,000       | 	 6,533        | 	 6            | 	 532,475,000  | 	 0          
 merge sort                     | 	 / 1      | 	 60,000       | 	 18           | 	 0            | 	 18,519,000   | 	 240,024    
 Arrays.sort                    | 	 / 1      | 	 60,000       | 	 142          | 	 0            | 	 142,145,000  | 	 522,240    
 Arrays.parallelSort            | 	 / 1      | 	 60,000       | 	 68           | 	 0            | 	 67,365,000   | 	 433,976    
 Linked Hashmap                 | 	 / 1      | 	 60,000       | 	 34           | 	 0            | 	 33,885,000   | 	 6,289,408  
 Stream + parallel + sort       | 	 / 1      | 	 60,000       | 	 67           | 	 0            | 	 66,408,000   | 	 2,392,944  
 selection                      | 	 / 1      | 	 70,000       | 	 6,280        | 	 6            | 	 280,190,000  | 	 0          
 insertion                      | 	 / 1      | 	 70,000       | 	 7,336        | 	 7            | 	 336,056,000  | 	 0          
 bubble                         | 	 / 1      | 	 70,000       | 	 19,446       | 	 19           | 	 446,787,000  | 	 0          
 shell                          | 	 / 1      | 	 70,000       | 	 10,782       | 	 10           | 	 781,747,000  | 	 0          
 merge sort                     | 	 / 1      | 	 70,000       | 	 15           | 	 0            | 	 15,444,000   | 	 0          
 Arrays.sort                    | 	 / 1      | 	 70,000       | 	 103          | 	 0            | 	 102,587,000  | 	 271,104    
 Arrays.parallelSort            | 	 / 1      | 	 70,000       | 	 69           | 	 0            | 	 69,298,000   | 	 522,240    
 Linked Hashmap                 | 	 / 1      | 	 70,000       | 	 29           | 	 0            | 	 28,759,000   | 	 6,817,792  
 Stream + parallel + sort       | 	 / 1      | 	 70,000       | 	 73           | 	 0            | 	 72,720,000   | 	 2,341,504  
 selection                      | 	 / 1      | 	 80,000       | 	 6,499        | 	 6            | 	 498,336,000  | 	 0          
 insertion                      | 	 / 1      | 	 80,000       | 	 13,016       | 	 13           | 	 15,283,000   | 	 0          
 bubble                         | 	 / 1      | 	 80,000       | 	 25,383       | 	 25           | 	 383,424,000  | 	 0          
 shell                          | 	 / 1      | 	 80,000       | 	 14,897       | 	 14           | 	 897,550,000  | 	 0          
 merge sort                     | 	 / 1      | 	 80,000       | 	 23           | 	 0            | 	 23,044,000   | 	 0          
 Arrays.sort                    | 	 / 1      | 	 80,000       | 	 116          | 	 0            | 	 116,033,000  | 	 291,104    
 Arrays.parallelSort            | 	 / 1      | 	 80,000       | 	 87           | 	 0            | 	 87,005,000   | 	 -21,237,552 
 Linked Hashmap                 | 	 / 1      | 	 80,000       | 	 15           | 	 0            | 	 15,451,000   | 	 7,510,464  
 Stream + parallel + sort       | 	 / 1      | 	 80,000       | 	 33           | 	 0            | 	 33,108,000   | 	 3,015,296  
 selection                      | 	 / 1      | 	 90,000       | 	 8,244        | 	 8            | 	 243,760,000  | 	 0          
 insertion                      | 	 / 1      | 	 90,000       | 	 17,296       | 	 17           | 	 295,492,000  | 	 0          
 bubble                         | 	 / 1      | 	 90,000       | 	 39,603       | 	 39           | 	 603,256,000  | 	 0          
 shell                          | 	 / 1      | 	 90,000       | 	 15,332       | 	 15           | 	 331,342,000  | 	 0          
 merge sort                     | 	 / 1      | 	 90,000       | 	 27           | 	 0            | 	 26,839,000   | 	 420,008    
 Arrays.sort                    | 	 / 1      | 	 90,000       | 	 140          | 	 0            | 	 140,147,000  | 	 -13,008,408 
 Arrays.parallelSort            | 	 / 1      | 	 90,000       | 	 55           | 	 0            | 	 54,966,000   | 	 538,600    
 Linked Hashmap                 | 	 / 1      | 	 90,000       | 	 20           | 	 0            | 	 20,134,000   | 	 8,090,008  
 Stream + parallel + sort       | 	 / 1      | 	 90,000       | 	 23           | 	 0            | 	 23,372,000   | 	 3,561,536  
 selection                      | 	 / 1      | 	 100,000      | 	 8,370        | 	 8            | 	 369,841,000  | 	 0          
 insertion                      | 	 / 1      | 	 100,000      | 	 19,924       | 	 19           | 	 924,516,000  | 	 0          
 bubble                         | 	 / 1      | 	 100,000      | 	 44,417       | 	 44           | 	 416,531,000  | 	 0          
