idx,name,shuffle,elements,duration_ms,p_duration_s,p_duration_ns,memory
46, Arrays.sort                    , 	 / 1      ," 	 100,000      ", 	 176          ,0," 	 175,702,000  "," 	 331,104    "
47, Arrays.parallelSort            , 	 / 1      ," 	 100,000      ", 	 32           ,0," 	 32,759,000   "," 	 400,016    "
48, Linked Hashmap                 , 	 / 1      ," 	 100,000      ", 	 32           ,0," 	 32,102,000   "," 	 10,485,760 "
49, Stream + parallel + sort       , 	 / 1      ," 	 100,000      ", 	 56           ,0," 	 55,381,000   "," 	 3,994,016  "
50, merge sort                     , 	 / 1      ," 	 110,000      ", 	 43           ,0," 	 42,879,000   "," 	 440,024    "
51, Arrays.sort                    , 	 / 1      ," 	 110,000      ", 	 138          ,0," 	 138,381,000  "," 	 449,440    "
52, Arrays.parallelSort            , 	 / 1      ," 	 110,000      ", 	 22           ,0," 	 22,856,000   "," 	 513,768    "
53, Linked Hashmap                 , 	 / 1      ," 	 110,000      ", 	 59           ,0," 	 58,311,000   "," 	 7,361,024  "
54, Stream + parallel + sort       , 	 / 1      ," 	 110,000      ", 	 40           ,0," 	 40,475,000   "," 	 -22,271,288 "
55, merge sort                     , 	 / 1      ," 	 120,000      ", 	 36           ,0," 	 35,580,000   "," 	 480,024    "
56, Arrays.sort                    , 	 / 1      ," 	 120,000      ", 	 82           ,0," 	 81,730,000   "," 	 240,016    "
57, Arrays.parallelSort            , 	 / 1      ," 	 120,000      ", 	 48           ,0," 	 47,692,000   "," 	 480,016    "
58, Linked Hashmap                 , 	 / 1      ," 	 120,000      ", 	 74           ,0," 	 74,634,000   "," 	 -23,304,192 "
59, Stream + parallel + sort       , 	 / 1      ," 	 120,000      ", 	 39           ,0," 	 39,100,000   "," 	 4,285,136  "
60, merge sort                     , 	 / 1      ," 	 130,000      ", 	 40           ,0," 	 39,778,000   "," 	 522,240    "
61, Arrays.sort                    , 	 / 1      ," 	 130,000      ", 	 64           ,0," 	 63,700,000   "," 	 325,568    "
62, Arrays.parallelSort            , 	 / 1      ," 	 130,000      ", 	 20           ,0," 	 19,670,000   "," 	 520,016    "
63, Linked Hashmap                 , 	 / 1      ," 	 130,000      ", 	 39           ,0," 	 39,647,000   "," 	 13,109,248 "
64, Stream + parallel + sort       , 	 / 1      ," 	 130,000      ", 	 31           ,0," 	 30,984,000   "," 	 4,641,008  "
65, merge sort                     , 	 / 1      ," 	 140,000      ", 	 54           ,0," 	 54,318,000   "," 	 1,570,816  "
66, Arrays.sort                    , 	 / 1      ," 	 140,000      ", 	 52           ,0," 	 51,693,000   "," 	 802,256    "
67, Arrays.parallelSort            , 	 / 1      ," 	 140,000      ", 	 33           ,0," 	 33,159,000   "," 	 1,048,576  "
68, Linked Hashmap                 , 	 / 1      ," 	 140,000      ", 	 35           ,0," 	 34,233,000   "," 	 13,631,488 "
69, Stream + parallel + sort       , 	 / 1      ," 	 140,000      ", 	 45           ,0," 	 44,959,000   "," 	 5,937,576  "
70, merge sort                     , 	 / 1      ," 	 150,000      ", 	 59           ,0," 	 58,370,000   "," 	 1,048,576  "
71, Arrays.sort                    , 	 / 1      ," 	 150,000      ", 	 49           ,0," 	 49,272,000   "," 	 562,176    "
72, Arrays.parallelSort            , 	 / 1      ," 	 150,000      ", 	 30           ,0," 	 30,625,000   "," 	 1,091,560  "
73, Linked Hashmap                 , 	 / 1      ," 	 150,000      ", 	 39           ,0," 	 38,729,000   "," 	 14,157,824 "
74, Stream + parallel + sort       , 	 / 1      ," 	 150,000      ", 	 164          ,0," 	 164,341,000  "," 	 -13,971,968 "
75, merge sort                     , 	 / 1      ," 	 160,000      ", 	 61           ,0," 	 61,180,000   "," 	 -96,468,992 "
76, Arrays.sort                    , 	 / 1      ," 	 160,000      ", 	 87           ,0," 	 86,468,000   "," 	 842,256    "
77, Arrays.parallelSort            , 	 / 1      ," 	 160,000      ", 	 32           ,0," 	 32,158,000   "," 	 1,119,432  "
78, Linked Hashmap                 , 	 / 1      ," 	 160,000      ", 	 38           ,0," 	 38,462,000   "," 	 15,202,304 "
79, Stream + parallel + sort       , 	 / 1      ," 	 160,000      ", 	 79           ,0," 	 78,279,000   "," 	 -8,681,072 "
